,Address,AreaName,Price ($),lat,lng
26050,"381 Dundas St Greater Napanee, ON",Napanee,527500,44.236576,-76.969322
26053,"LOT 5 SOUTH SHORE RD Napanee, ON",Napanee,33500,44.141632,-76.922142
26055,"26 DOLLAR Crescent Napanee, ON",Napanee,259900,44.240524,-76.931221
26060,"87 BROOKSIDE ST Cavan Monaghan, ON",Millbrook,284900,44.15625,-78.452271
26061,"1450 BENNS POINT RD W Greater Napanee, ON",Napanee,389900,44.169815,-76.881554
26064,"5518 COUNTY ROAD 9 Greater Napanee, ON",Napanee,980000,44.151417,-76.979507
26067,"676 Tillicum Bay Rd Callander, ON",,864900,46.190727,-79.478897
26074,"563 PALACE Road Greater Napanee, ON",Napanee,279900,44.259125,-76.939148
26075,"154 KILBY Lane Callander, ON",,309000,46.232857,-79.380531
26076,"1798 COUNTY ROAD 1 RD E Stone Mills, ON",Camden East,419000,44.333786,-76.854721
26077,"0 HILLSIDING Road Callander, ON",,330000,46.144997,-79.35936
26080,"59 WOOKEY Road Callander, ON",,484900,46.192989,-79.366898
26081,"554555 GLENELG ROAD 23 West Grey, ON",Markdale,999900,44.273136,-80.712326
26083,"300 Greenwood Rd Callander, ON",,479999,46.208141,-79.366982
26084,"54 SUNSET COVE Road Callander, ON",,269900,46.162106,-79.511848
26087,"525719 GREY ROAD 30 Grey Highlands, ON",Markdale,899000,44.347488,-80.579247
26088,"382356 Concession 4 Road E Hanover, ON",Hanover,594900,44.210438,-80.899483
26090,"642 PINECREEK Road South Callander, ON",,274900,46.18198,-79.38942
26093,"280 LANSDOWNE Street East Callander, ON",,209000,46.223652,-79.361664
26094,"19466 KENYON ROAD 1 ROAD UNKN, ON",,349900,-999,-999
26096,"142 ISLA Street Markdale, ON",Markdale,419000,44.316391,-80.652885
26097,"26 OTTER AVENUE Manitouwadge, ON",Manitouwadge,49900,49.123428,-85.82309
26098,"154 BOWLES BLUFF Road Grey Highlands, ON",Markdale,129000,44.352203,-80.557106
26101,"385391 GREY ROAD 19 Grey Highlands, ON",Markdale,990000,44.318981,-80.647705
26106,"59 MANITOU ROAD Manitouwadge, ON",Manitouwadge,26500,49.122463,-85.836021
26122,"7844 HIGHWAY 21 Allenford, ON",Allenford,195000,44.53783,-81.163734
26132,"137 SIDEROAD 10 N ARRAN-ELDERSLIE, ON",Chesley,599000,44.273529,-81.192612
26137,"24 ISLANDVIEW Drive Allenford, ON",Allenford,500000,44.557011,-81.229187
26148,"1173 KILLARNEY BEACH ROAD Innisfil, ON",Innisfil,299900,44.263802,-79.546371
26153,"406 COUNTY ROAD 2 Road Cardinal, ON",Johnstown,174900,44.747166,-75.467339
26155,"#1710 - 88 CORPORATE DR Toronto, ON",Woburn,264900,43.780956,-79.249779
26165,"#406 - 2 GLAMORGAN AVE Toronto, ON",Dorset Park,172000,43.769417,-79.28241
26169,"1008 Remembrance Lane Wilberforce, ON",Wilberforce,499000,45.036789,-78.222649
26170,". Braniff Rd Bruce Mines, ON",Bruce Mines,59900,46.301048,-83.705345
26172,"383 A COPPER BAY RD Bruce Mines, ON",Bruce Mines,289000,46.294327,-83.817696
26173,"LOT 1 OPEONGO ROAD W Eganville, ON",Eganville,110000,45.539936,-77.101082
26174,"78 HALSTEAD Road Bruce Mines, ON",Bruce Mines,72500,46.3703,-83.65741
26177,"287 GREEN BAY Road Bruce Mines, ON",Bruce Mines,925000,46.298492,-83.829254
26183,"298 Wees Rd Uxbridge, ON",Whitchurch-Stouffville,1595000,44.068119,-79.209541
26185,"2949 Concession 3 Rd Uxbridge, ON",Goodwood,1999500,44.015579,-79.18708
26187,"5 &amp; 9 Mustard St Uxbridge, ON",Uxbridge,450000,44.194477,-79.136215
26194,"1820 CONCESSION 6 RD Uxbridge, ON",Goodwood,2500000,44.006008,-79.102036
26196,"11950 REGIONAL RD 1 RD Uxbridge, ON",Uxbridge,349999,44.11158,-79.119827
26245,"Lot # 3 STONEY CREEK Road York, ON",York,860000,43.030136,-79.888992
26263,"6843 5TH LINE New Tecumseth, ON",Tottenham,3520000,44.028137,-79.837532
26270,"114721 Grey Road 3 West Grey, ON",Elmwood,149900,44.282391,-80.992554
26281,"117 Cedar Valleyview Road Hanover, ON",Hanover,349000,44.161224,-80.969963
26288,"29 CRAWFORD Street Bruce Mines, ON",Bruce Mines,94500,46.30299,-83.793533
26298,"16 WILLIAMS Bruce Mines, ON",Bruce Mines,174900,46.3008,-83.785744
26300,"280 Lane 12 Rd Bruce Mines, ON",Bruce Mines,84900,46.437614,-83.79512
26302,"9112 HWY 17 E Bruce Mines, ON",Bruce Mines,124900,46.300297,-83.790802
26304,"28 BERNARD Road Bruce Mines, ON",Bruce Mines,339900,46.387524,-83.82711
26306,"117 MCBAIN Road Bruce Mines, ON",Bruce Mines,114900,46.370464,-83.651405
26310,"1654 HOATH RD Bruce Mines, ON",Bruce Mines,15000,46.362267,-83.741348
26315,"#206 - 220 Main St Uxbridge, ON",Uxbridge,299000,44.116974,-79.124008
26316,"Lot # 6 STONEY CREEK Road York, ON",York,890000,43.030182,-79.888794
26319,"8660 Concession 4 Rd Uxbridge, ON",Sandford,1950000,44.128933,-79.208351
26322,"41 ANDERSON BLVD Uxbridge, ON",Uxbridge,400000,44.025688,-79.226654
26323,"765 B RAVENSHOE RD Uxbridge, ON",Sunderland,210000,44.25861,-79.166046
26324,"13552 CONCESSION 2 RD Uxbridge, ON",Zephyr,499000,44.204922,-79.292458
26325,"19 FOUNTAINVIEW LANE Uxbridge, ON",Uxbridge,925000,44.045391,-79.151131
26340,"381470 CONCESSION 4 West Grey, ON",Elmwood,399000,44.196583,-80.984962
26346,"299 BRIDGE STREET Eganville, ON",Eganville,825000,45.540646,-77.100525
26373,"17511 LOYALIST PKWY Hillier, ON",Prince Edward,899000,43.948132,-77.424171
26391,"LOT 48 Morningside Pl Millbrook, ON",Millbrook,89900,44.162594,-78.480667
26396,"17 WATER Street West Little Current, ON",Little Current,299900,45.983498,-81.928734
26401,"86 Stevenson Street Guelph, ON",Guelph,319000,43.555561,-80.23838
26408,"87 Hammell Blvd New Tecumseth, ON",Tottenham,430000,44.034557,-79.804558
26410,"32 Riverwalk Pl Midland, ON",Port McNicoll,445000,44.744446,-79.853783
26412,"256 Sarah Burke Way Midland, ON",Midland,199000,44.759186,-79.912109
26414,"179 QUEEN ST S New Tecumseth, ON",Tottenham,799900,44.015934,-79.804573
26415,"261 WHITFIELD Crescent Midland, ON",Midland,489900,44.732498,-79.858391
26437,"#113 - 8302 Islington Ave Vaughan, ON",Woodbridge,334800,43.795265,-79.584862
26438,"1035 COOK DR|Unit 43-4 Midland, ON",Midland,267900,44.740074,-79.902908
26440,"528 ELIZABETH Street Midland, ON",Midland,179900,44.748123,-79.885468
26446,"13840 COULTHART ROAD Morewood, ON",Chesterville,369000,45.175438,-75.249702
26459,"490 -492 HANNAH ST Midland, ON",Midland,299900,44.74609,-79.881699
26461,"#45 - 88 RAINBOW DR Vaughan, ON",Woodbridge,65000,43.779015,-79.600792
26477,"11 SILVER FOX CRESCENT Winchester, ON",Winchester,489000,45.151253,-75.387772
26483,"116 MAIN STREET Morewood, ON",Winchester,515000,45.176662,-75.287598
26500,"19 LANE Street Denbigh, ON",Denbigh,199900,45.140289,-77.27668
26504,"Glamor Lake Rd Gooderham, ON",Gooderham,42900,44.951687,-78.353409
26517,"1727 Hwy 638 Bruce Mines, ON",Bruce Mines,109900,46.364296,-83.735855
26521,"13029 Regional  39 Rd Uxbridge, ON",Zephyr,1200000,44.201538,-79.265343
26532,"9203 Highway 17 Bruce Mines, ON",Bruce Mines,119900,46.300606,-83.788834
26542,"5 QUINCY Street Bruce Mines, ON",Bruce Mines,29900,46.299675,-83.79583
26543,"31 HOATSON Street Bruce Mines, ON",Bruce Mines,29500,46.301071,-83.793747
26546,"18 PROUT Street Bruce Mines, ON",Bruce Mines,25000,46.298351,-83.794403
26548,"0 JIM ISLAND Bruce Mines, ON",Bruce Mines,85000,46.300274,-83.793472
26552,"114 WALTONEN Road Bruce Mines, ON",Bruce Mines,179900,46.287846,-83.734108
26556,"143 HWY 638 Bruce Mines, ON",Bruce Mines,289900,46.361996,-83.743065
26562,"#4 - 362 KINGSTON RD W Ajax, ON",Ajax,109000,43.857601,-79.043716
26563,"#A1 - 806 ROSSLAND RD Ajax, ON",Ajax,659000,43.870216,-79.073555
26565,"13552 CONCESSION 2 RD Uxbridge, ON",Zephyr,499000,44.204922,-79.292458
26568,"491 Patricia Blvd Timmins, ON",Timmins,449900,48.486202,-81.319855
26571,"1848 Blueberry Trail Haliburton, ON",,899000,45.079929,-78.4049
26577,"40 Bruce Bay Rd Bruce Mines, ON",Bruce Mines,225000,46.296162,-83.796631
26578,"75 Harbour St Brighton, ON",Brighton,500000,44.021088,-77.728638
26581,"15 Lakecrest Ci Brighton, ON",Brighton,699000,44.009041,-77.766693
26582,"1803 Trappers Trail Rd Haliburton, ON",Harcourt,209000,45.041843,-78.323982
26583,"55 DUDLEY Crescent London, ON",Westminster,239900,42.94173,-81.206032
26584,"3191 Kashagawigamog Lake Rd Haliburton, ON",,1490000,45.016968,-78.553093
26585,"441 BASE LINE Road East London, ON",Highland,659900,42.960808,-81.241051
26586,"103 Sheppard Lane Cramahe, ON",Castleton,399000,44.085766,-77.927505
26587,"23 TAYLOR Street Bruce Mines, ON",Bruce Mines,289900,46.298721,-83.783852
26589,"114 Lakeshore Rd Cramahe, ON",Brighton,579900,44.011532,-77.776955
26592,"5339 CONCESSION 4 RD Uxbridge, ON",Goodwood,1950000,44.063564,-79.181282
26594,"8772 CONCESSION 8 RD Uxbridge, ON",Uxbridge,1038000,44.152924,-79.112877
26595,"234 LEITCH RD Uxbridge, ON",Zephyr,1500000,44.217228,-79.289703
26596,"LOT 3 Hodgson Rd Haliburton, ON",Eagle Lake,405000,45.171112,-78.396858
26597,"116 WINDING WOODS Road London, ON",Medway,244900,43.01347,-81.315994
26601,"1030 Kashagawigamog Lake Rd Haliburton, ON",,49900,44.959446,-78.629738
26609,"191 COMMISSIONERS Road East London, ON",Highland,820000,42.95723,-81.249825
26611,"1848 Blueberry Trail Haliburton, ON",,899000,45.079929,-78.4049
26613,"LOT 59 West Shore Rd Haliburton, ON",,269900,45.184662,-78.627411
26620,"LOT 8 Misty Knoll Trail Haliburton, ON",,349000,45.046715,-78.508492
26625,"118 Victoria Street Port Colborne, ON",Port Colborne,144900,42.882694,-79.254303
26627,"10161 CEMENT Road Wainfleet, ON",Port Colborne,600000,42.88385,-79.282722
26631,"219 KING Street Port Colborne, ON",Port Colborne,275000,42.885899,-79.25116
26633,"14102 Hwy 118 E Haliburton, ON",Haliburton,100000,45.044899,-78.503273
26634,"5219 County Road 21 Haliburton, ON",,799000,45.047817,-78.528877
26637,"288 Galloway Blvd Midland, ON",Midland,209900,44.740482,-79.865814
26639,"352 Puddicombe Rd Midland, ON",Midland,109900,44.774967,-79.884453
26643,"2412 Rumney Rd Tay Township, ON",,99800,-999,-999
26644,"300 Grange Road Guelph, ON",Grange Hill East,3000000,43.561142,-80.225716
26648,"1 - 845 KING Street Midland, ON",Midland,89900,44.734589,-79.871338
26651,"North Kennisis Dr Haliburton, ON",,219900,45.229679,-78.637543
26652,"304 Industrial Park Rd Haliburton, ON",,299900,45.052563,-78.538498
26653,"1 - 559 BAY Street Midland, ON",Midland,69900,44.75032,-79.889023
26656,"2332 RUMNEY RD Midland, ON",Midland,599900,44.718468,-79.803833
26657,"716 ABERDEEN Boulevard Midland, ON",Port McNicoll,45900,44.746273,-79.8582
26662,"74 Orr Dr Bradford West Gwillimbury, ON",Bradford West Gwillimbury,599900,44.103504,-79.594666
26664,"216 Railway St Leeds And The 1000 Islands, ON",Lansdowne,284900,44.407101,-76.006477
26669,"#13 - 7611 PINE VALLEY DR Vaughan, ON",Woodbridge,539000,43.782932,-79.571617
26673,"#96 - 3580 RUTHERFORD RD Vaughan, ON",Vaughan,681600,43.827618,-79.550575
26679,"1038 Cedar Ave Central Frontenac, ON",Sharbot Lake,649900,44.754288,-76.67189
26680,"1399 GUIGUE ROAD Sharbot Lake, ON",Sharbot Lake,569000,44.772537,-76.648865
26681,"1290 CLEMENT ROAD Sharbot Lake, ON",Sharbot Lake,419000,44.752003,-76.67466
26682,"19 Thornhill Cres Guelph, ON",West Willow Woods,619900,43.533966,-80.296516
26693,"LT 106 GERVAIS ST Midland, ON",Midland,249900,44.742886,-79.898201
26695,"1171 TWIST LANE Gooderham, ON",Gooderham,134900,44.906384,-78.379799
26699,"699 Aberdeen Blvd Midland, ON",Midland,139900,44.746872,-79.857758
26700,"313 GLENBROOK DR Midland, ON",Midland,349000,44.77457,-79.888138
26704,"382 KING Street Midland, ON",Midland,429000,44.746624,-79.882988
26705,"1037 COOK DR|Unit 42-1 Midland, ON",Midland,244900,44.740074,-79.902908
26710,"8986 93 COUNTY RD Midland, ON",Midland,329900,44.730297,-79.902931
26713,"#208 - 100 Arbors Lane Vaughan, ON",Woodbridge,398800,43.786022,-79.594376
26718,"197 CHURCH ST Bradford West Gwillimbury, ON",Bradford West Gwillimbury,619900,44.118671,-79.569664
26720,"8311 KIPLING AVE Vaughan, ON",Woodbridge,758800,43.792515,-79.600327
26721,"3936 20TH S/R Bradford West Gwillimbury, ON",Bradford West Gwillimbury,1000000,44.176701,-79.540749
26722,"19  Andrew Hill Drive Vaughan, ON",Woodbridge,1550000,43.860176,-79.561531
26726,"#28 - 8611 WESTON RD Vaughan, ON",Woodbridge,129000,43.81086,-79.551659
26736,"489 ANNE STREET Winchester, ON",Winchester,379900,45.086468,-75.346565
26745,"12765 River Rd North Dundas, ON",Chesterville,179900,45.071999,-75.277908
26746,"535 ALBERT STREET Winchester, ON",Winchester,269900,45.092033,-75.349892
26747,"00 ARMSTRONG ROAD Winchester, ON",Winchester,1000000,45.120792,-75.429192
26753,"75 Harbour St Brighton, ON",Brighton,1600000,44.021088,-77.728638
26755,"#A+B - 20-22 Oliphant St Brighton, ON",Brighton,425000,44.040234,-77.734879
26756,"16917 TELEPHONE RD Brighton, ON",Trenton,194900,44.095158,-77.676147
26757,"16733 TELEPHONE RD Brighton, ON",Brighton,499900,44.09145,-77.684158
26758,"84 HARTSON Road London, ON",Oakridge,379000,42.962677,-81.318382
26759,"35 BOWCOTT Crescent London, ON",Argyle,274900,42.992519,-81.149178
26770,"1169 Rowbotham Lane Haliburton, ON",Tory Hill,339000,45.017559,-78.267746
26780,"Moose Lake Rd Haliburton, ON",Haliburton,329000,45.142296,-78.453033
26782,"Little Hawk Lake Rd Carnarvon, ON",Carnarvon,24500,45.045479,-78.698387
26784,"LOT 10 Hodgson Rd Haliburton, ON",Eagle Lake,465000,45.171112,-78.396858
26788,"1687 Blairhampton Rd Minden, ON",Minden,279900,45.023346,-78.652191
26790,"15 Shellard Lane Brantford, ON",Brantford,260000,43.130665,-80.285057
26791,"1056 Argillite Rd Haliburton, ON",,690000,45.046715,-78.508492
26794,"270 King George Road Brantford, ON",Brantford,1490000,43.178921,-80.279572
26796,"11360 Neff Street Port Colborne, ON",Port Colborne,150000,42.898014,-79.254921
26797,"433 Sugarloaf Street Port Colborne, ON",Port Colborne,199900,42.880825,-79.265388
26798,"10 WESTWOOD Avenue Port Colborne, ON",Port Colborne,379900,42.884624,-79.276154
26799,"3367 WILHELM RD Port Colborne, ON",Port Colborne,1395000,42.934135,-79.132469
26802,"18 Charlotte Street Port Colborne, ON",Port Colborne,139900,42.885109,-79.250618
26803,"1433 FIRELANE 1 Port Colborne, ON",Port Colborne,1045000,42.872478,-79.204781
26804,"10 Sewell Lake Rd Timmins, ON",Timmins,325000,48.475822,-81.330498
26808,"LOT 7 Heron Pointe Road Port Colborne, ON",Port Colborne,84900,42.876328,-79.273186
26812,"298-306 Colborne Street Brantford, ON",Brantford,825000,43.138939,-80.258606
26813,"345 TERRACE HILL Street Brantford, ON",Brantford,519900,43.155628,-80.283722
26814,"119 ST MICHAEL&#39;S Street Delhi, ON",,393000,42.840225,-80.48243
26815,"312 COURTLAND Street Delhi, ON",Delhi,274650,42.855083,-80.478043
26821,"442 Grey Street Brantford, ON",Brantford,11,43.147945,-80.235123
26822,". Drummond St Brighton, ON",Brighton,220000,44.061787,-77.680573
26825,"191 Brant Avenue Brantford, ON",Brantford,224500,43.145908,-80.275169
26826,"1362 Hutchings Rd Haliburton, ON",,419000,45.010242,-78.488594
26827,"11 Roy Boulevard Brantford, ON",Brantford,3100,43.175343,-80.225266
26828,"1029 Honey Tree Lane Haliburton, ON",,328800,45.046715,-78.508492
26830,"Royal Mile Rd West Guilford, ON",Royal Oak,135000,42.516285,-83.181358
26831,"Trapline Trail Haliburton, ON",,159000,45.150417,-78.626282
26833,"3734 Harburn Rd Haliburton, ON",,1395000,45.073776,-78.475815
26834,"1099 Colborne Street Brantford, ON",Brantford,1000,43.145298,-80.20504
26835,"17 Webb Avenue Brantford, ON",Brantford,584900,43.119701,-80.288818
26836,"5247 County Road 21 Haliburton, ON",,374900,45.04689,-78.527206
26837,"422 LYNDEN Road Brantford, ON",Brantford,1899000,43.180721,-80.197266
26838,"1045 Propeller Dr Haliburton, ON",,399900,45.046715,-78.508492
26840,"87 Copernicus Boulevard Brantford, ON",Brantford,1800,43.179688,-80.238884
26842,"380 Hardy Road Brantford, ON",Brantford,599900,43.160725,-80.322884
26843,"81 Elgin Street Brantford, ON",Brantford,5,43.148975,-80.255058
26844,"100 MILL Street Brant County, ON",Brantford,869900,43.123493,-80.400612
26845,"County Road 21 Haliburton, ON",Haliburton,229000,44.993839,-78.614929
26846,"173 Sydenham Street Brantford, ON",Brantford,152750,43.153664,-80.265587
26847,"234 Cockshutt Road Brant, ON",Brantford,495000,43.076134,-80.262749
26849,"1117 NILA RD E Haliburton, ON",,422900,45.117634,-78.592476
26850,"13 Tedley Street Brant County, ON",,834900,-999,-999
26851,"119 Patrick St Magnetawan, ON",Magnetawan,549000,45.661709,-79.646927
26852,"1830 COLBORNE Street Brant, ON",Brantford,2350000,43.145325,-80.20414
26854,"9 CHANTILLY Lane Magnetawan, ON",Magnetawan,449000,45.665241,-79.643982
26856,"20 Dalhousie Street Brantford, ON",Brantford,1200000,43.1394,-80.268196
26857,"92 PENINSULA Lane Magnetawan, ON",Burk's Falls,344000,45.673882,-79.479691
26858,"1030 SECOND ST Espanola, ON",Espanola,189900,46.25737,-81.790733
26859,"479 COLBORNE Street Brantford, ON",Brantford,159900,43.139297,-80.250107
26860,"160 Brantwood Park Road Brantford, ON",Brantford,9,43.184349,-80.240601
26866,"9308 Blind Line Minto, ON",Minto,769900,43.91394,-80.851181
26868,"4945 Baldwin St Whitby, ON",Whitby,3400000,43.932724,-78.962044
26870,"169 Front St Orillia, ON",Orillia,1231,44.605263,-79.411575
26871,"#1 - 26 DUNN AVENUE Orillia, ON",Orillia,72500,44.596844,-79.427063
26872,"83 HEYDEN AV Orillia, ON",Orillia,1459000,44.587353,-79.391815
26873,"34 GEORGE AVENUE Perth, ON",Perth,54900,44.905434,-76.260056
26874,"00 WILLOW WAY Perth, ON",Perth,325000,44.846764,-76.16629
26875,"536 Victoria St Tweed, ON",,119900,44.482437,-77.317535
26876,"133 Bogart Rd Tweed, ON",,259900,44.499405,-77.250893
26877,"000 MAINES RD Tweed, ON",Thomasburg,69900,44.41143,-77.295952
26887,"33 Lindell Rd Georgina, ON",Georgina,549000,44.314484,-79.209663
26888,"188 RIVERBANK DR Georgina, ON",Georgina,574900,44.326942,-79.212456
26893,"31 Park St Sundridge, ON",Sundridge,224900,45.775024,-79.384499
26894,"143 MAIN Street Sundridge, ON",Sundridge,139900,45.773216,-79.385529
26895,"178 MAIN Street SUNRIDGE, ON",Sundridge,89000,45.775234,-79.382202
26896,"#404 - 137 Elgin St Port Elgin, ON",Port Elgin,775000,44.444233,-81.40258
26900,"75568 ELLIOT ST Bayfield, ON",Bluewater,89000,43.547131,-81.705231
26901,"124 Lakewood Amherstburg, ON",Amherstburg,449889,42.040524,-83.08168
26905,"201 Johanna Drive Cambridge, ON",Southwood,339900,43.340183,-80.337578
26908,"383 QUARTZ AVENUE Rockland, ON",Rockland,749800,45.543659,-75.280273
26919,"322 SUPPLE STREET Pembroke, ON",Pembroke,325000,45.826427,-77.104996
26920,"14 Bonnie Braes Dr Brampton, ON",Brampton,899900,43.652588,-79.78215
26921,"#1403 - 100 John St Brampton, ON",Brampton,282500,43.689404,-79.755104
26922,"44 Ashford Crt Brampton, ON",Brampton,499900,43.703758,-79.770363
26923,"46 CARLETON PL Brampton, ON",Brampton,399900,43.707848,-79.723495
26924,"117 PASSFIELD TR Brampton, ON",Brampton,619900,43.787251,-79.662453
26925,"34 JINGLE CRES Brampton, ON",Brampton,599900,43.762058,-79.71965
26926,"38 EAGLERIDGE DR Brampton, ON",Brampton,724913,43.760048,-79.737686
26927,"42 PETERSON CRT Brampton, ON",Brampton,539900,43.731205,-79.787498
26928,"52 FRONT ST N Trent Hills, ON",Campbellford,380000,44.309677,-77.797485
26939,"Relative Rd Burks Falls, ON",Burk's Falls,149900,45.608803,-79.333778
26941,"2510 Head  Road Scugog, ON",Port Perry,0,44.115845,-78.904755
26942,"#17 - 20 St Moritz Way Markham, ON",Markham,549000,43.856602,-79.342697
26943,"#3 - 38 Buttonfield Rd Markham, ON",Markham,55000,43.868336,-79.35762
26944,"#101 - 7163 Yonge St Markham, ON",Thornhill,850000,43.802551,-79.420654
26947,"20 DAIRY LANE Westport, ON",Westport,819000,44.677677,-76.399666
26954,"25 Fort Dearborn Dr Toronto, ON",L'Amoreaux,799000,43.807236,-79.303368
26958,"605 FOLEY Road Keene, ON",Keene,439900,44.246796,-78.112885
26965,"92 TODHUNTER CRES Ajax, ON",Ajax,539000,43.888062,-79.024467
26971,"212 MAIN ST Minto, ON",Palmerston,1500000,43.834095,-80.849655
26972,"0 Gorham St Newmarket, ON",Newmarket,249900,44.055096,-79.437386
26973,"60 ALICE North Essex, ON",Essex,169000,42.174175,-82.82354
26976,"6440 King St Caledon, ON",Caledon,4250000,43.839104,-79.802162
26977,"LOT 3 ACADEMY ST Bath, ON",Bath,95000,44.18499,-76.771545
26983,"5587 26 Hwy Stayner, ON",Stayner,699900,44.438938,-79.986671
26984,"LOT 10 Duhamel St Lively, ON",Lively,699000,46.437557,-81.107597
26987,"17 Main St Markstay, ON",Markstay,189900,46.495895,-80.542633
26988,"64 GREENWOOD DR Angus, ON",Angus,392400,44.320534,-79.858894
26989,"53 GREENWOOD DR Angus, ON",Angus,382400,44.316998,-79.85746
26990,"11 GREENWOOD DR Essa, ON",Angus,396400,44.316998,-79.85746
26991,"132 BANTING CRESCENT Essa, ON",Angus,346888,44.316349,-79.852531
26993,"57 CROMPTON DR Barrie, ON",Barrie,499900,44.42313,-79.689796
26995,"#403 - 172 Main St Picton, ON",Picton,169000,44.009464,-77.138824
26997,"#403 - 80 Burns Blvd King, ON",King City,619900,43.926296,-79.53614
26998,"2 Dundee Ave Wilmot, ON",New Dundee,1069900,43.348305,-80.539948
26999,"52 PIONEER DR Erin, ON",Erin,800000,43.783058,-80.086037
27000,"59 MILL ST Erin, ON",Hillsburgh,509000,43.797241,-80.142792
27016,"849 Brookdale Rd Uxbridge, ON",Uxbridge,699900,44.086002,-79.086388
27017,"132 ISRAEL ZILBER DR Vaughan, ON",Maple,1299950,43.879059,-79.466751
27020,"125 BANCHORY CRESCENT Ottawa, ON",Kanata,278900,45.350582,-75.922516
27021,"6 Pretoria Road Cambridge, ON",Greenway-Chaplin,469900,43.370781,-80.304634
27025,"240 KROTZ ST E Listowel, ON",Listowel,279900,43.717136,-80.955353
27027,"44 GUILDWOOD Drive Hamilton, ON",Gurnett,569900,43.224937,-79.918083
27033,"1517 BRIDGE RD Oakville, ON",West Oakville,799908,43.415802,-79.712456
27034,"260 Ellen Davidson Drive Oakville, ON",Oakville,689900,43.474094,-79.737961
27035,"1324 Pilgrims Way Oakville, ON",Glen Abbey,1338888,43.433315,-79.722801
27036,"921 Bristol Rd Mississauga, ON",East Credit,999900,43.597591,-79.683174
27043,"42 ORCHARD Road Grand Bend, ON",Lambton Shores,315000,43.31007,-81.760422
27044,"8400 HAIG LN Lambton Shores, ON",Lambton Shores,229900,43.208042,-81.831039
27047,"313 Willow Dr Kincardine, ON",Kincardine,179900,44.163788,-81.640961
27049,"266 MAIN Street THEASSALON, ON",Thessalon,124900,46.259476,-83.555786
27066,"26 ADDINGTON SQ Markham, ON",Unionville,1495000,43.866558,-79.324562
27075,"8085 Riverside Windsor, ON",Riverside,177900,42.341316,-82.946449
27086,"227 Adelaide St Strathroy, ON",Strathroy,194900,42.949696,-81.618584
27087,"LOT 17 COLLINS WY Strathroy, ON",Strathroy,409000,42.955421,-81.62323
27106,"MEDORA LAKE RD MEDORA LAKE RD Bala, ON",Bala,32900,45.016544,-79.615311
27109,"251 Moore St Timmins, ON",South Porcupine,320000,48.486458,-81.212723
27111,"0 Concession 1 Road Alfred, ON",Alfred,249900,45.631111,-74.824074
27115,"173 KINGS ROAD UNKN, ON",,185000,-999,-999
27117,"57 Smith Ave Timmins, ON",Timmins,179000,48.470589,-81.20668
27119,"B40586 Shore Rd Brock, ON",Beaverton,189900,44.46357,-79.156204
27120,"460 Osborne St Brock, ON",Beaverton,1299900,44.425198,-79.152962
27125,"#4 - 10 Carlow Crt Whitby, ON",Whitby,799900,43.876648,-78.921455
27126,"305 St. John St Whitby, ON",Whitby,1790000,43.873684,-78.943001
27127,"114 BROCK ST S Whitby, ON",Whitby,118000,43.879395,-78.94207
27128,"#4 - 10 Carlow Crt Whitby, ON",Whitby,799900,43.876648,-78.921455
27129,"5760 Halls Rd Whitby, ON",Whitby,659900,43.935986,-79.012062
27131,"321 PALACE ST Whitby, ON",Whitby,624900,43.882492,-78.949554
27136,"14 Coldwater Rd Orillia, ON",Orillia,1050,44.609646,-79.421555
27138,"303 Moffat St Orillia, ON",Orillia,149900,44.603413,-79.402878
27140,"7 Warbler Way Orillia, ON",Orillia,838000,44.567558,-79.411537
27141,"2 SHANNON ST Orillia, ON",Orillia,244900,44.592396,-79.406166
27142,"2 SKYLINE DR Orillia, ON",Orillia,1339900,44.624828,-79.434235
27143,"319 Oxford St Orillia, ON",Orillia,339700,44.602936,-79.392372
27145,"725 13 Line Orillia, ON",Hawkestone,1650000,44.556927,-79.477051
27146,"570 Sundial Dr Orillia, ON",Orillia,499000,44.637249,-79.423203
27147,"40 Colborne St Orillia, ON",Orillia,849000,44.606689,-79.420586
27148,"23 Clifford St Orillia, ON",Orillia,665000,44.602867,-79.371628
27149,"3 Progress Dr Orillia, ON",Orillia,349900,44.587536,-79.430618
27155,"37 Jarvis St Seaforth, ON",Huron East,159000,43.553097,-81.397095
27157,"200 HEALEY DRIVE Perth, ON",Perth,349900,44.864914,-76.212532
27158,"41 LAMONT CRT Vaughan, ON",Maple,979000,43.864883,-79.518745
27160,"120 Pringle St Tweed, ON",,219900,44.4729,-77.310921
27161,"14071 GROVES ROAD Ingleside, ON",Ingleside,469434,45.006348,-75.087852
27163,"113 River St Tweed, ON",,229900,44.475063,-77.308434
27165,"137 Hughes Lane Tweed, ON",Tweed,157000,44.482098,-77.274956
27166,"161B St Edmunds Rd Tweed, ON",,329900,44.454044,-77.286049
27170,"LT 18 26 HWY Meaford, ON",Meaford,98000,44.605946,-80.593689
27174,"78 Stoco Rd Tweed, ON",Tweed,127900,44.459328,-77.274216
27176,"40 Queen St Marlbank, ON",Marlbank,125000,44.434692,-77.092598
27177,"113 Louisa St Tweed, ON",Tweed,137900,44.477608,-77.308151
27181,"358 Inkerman St Paisley, ON",Paisley,269000,44.304432,-81.26899
27182,"221 George St Paisley, ON",Paisley,58900,44.303123,-81.268394
27184,"6730 12th Line Minto, ON",Minto,899000,43.95491,-80.779915
